title,price,href,address,year,content,area
title,price,href,address,year,content,area
"4-комнатная квартира, Сатпаева - Бухар Жырау",85000000,/obyavleniya/prodazha-kvartiry-121m-v-almaty-3089113/,['Сатпаева\xa0- Бухар Жырау'],2006,"монолитный. Продается 3-комнатная квартира в ЖК Тенгиз Тауэрс. На территории жилого комплекса предусмотрены спортивные сооружения, детские игровые площадки, зоны тихого отдыха....",121
"2-комнатная квартира, Гагарина, 233",43000000,/obyavleniya/prodazha-kvartiry-53.41m-v-almaty-3073676/,"['Гагарина', '233']",2021,"ЖК Terra, монолитный. Продается 2-комнатная квартира 54 кв.м с кухней-студией в свежей новостройке Бостандыкского района, по улице Гагарина.     Удачная планировка, которая...",53.41
"2-комнатная квартира, Самал-2 мкр-н, 46 - Мендикулова",35000000,/obyavleniya/prodazha-kvartiry-60.5m-v-almaty-3089607/,"['Самал-2 мкр-н', '46\xa0- Мендикулова']",1989,"кирпичный. Не угловая.  Уважаемые товарищи, обращаем ваше внимание на комфортное жилье в легендарном микрорайоне самал-2 на улице Мендикулова. Лучший район города с...",60.5
"2-комнатная квартира, Ладушкина - Кашгарская",43950000,/obyavleniya/prodazha-kvartiry-68m-v-almaty-3090294/,['Ладушкина\xa0- Кашгарская'],2008,"ЖК Зеленая Долина (Коттеджный городок), монолитный. Услуги агентства оплачивает продавец квартиры. С покупателей комиссию не берём.    Квартира в одном из фешенебельных районов, в...",68
"2-комнатная квартира, Казахфильм мкр-н, 26",27000000,/obyavleniya/prodazha-kvartiry-45m-v-almaty-3090288/,"['Казахфильм мкр-н', '26']",1977,"панельный. Перепланировка не узаконена! Только нал.  Санузел совмещенный, пластиковые окна, в доме есть: открытый двор, гостевой паркинг, без лифта, косметический ремонт, также...",45
"1-комнатная квартира, 6 мкр-н, 35",20500000,/obyavleniya/prodazha-kvartiry-32m-v-almaty-3090289/,"['6 мкр-н', '35']",1967,"панельный. Квартира в хорошем состоянии, чистая, удобная расположение рядом магнум, смол, школа.  Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка...",32
"3-комнатная квартира, Казахфильм мкр-н, 51",40500000,/obyavleniya/prodazha-kvartiry-67m-v-almaty-3090287/,"['Казахфильм мкр-н', '51']",1984,"панельный. Новая сантехника, комнаты изолированы, встроенная кухня, улучшенная, кладовка, пластиковые окна, не угловая, тихий двор.  Квартира улучшенной планировки, комнаты все...",67
"2-комнатная квартира, 3 мкр-н, 6",25100000,/obyavleniya/prodazha-kvartiry-48m-v-almaty-3090285/,"['3 мкр-н', '6']",1960,"панельный. Хороший район для жилья, удобное расположение инфраструктуры.   Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта,...",48
"3-комнатная квартира, Аскарова, 3",27500000,/obyavleniya/prodazha-kvartiry-58m-v-almaty-3090286/,"['Аскарова', '3']",1965,"панельный. Экологический чистый район, Горный воздух, рядом президентский парк, гольф клуб, школа, детский сад, минимаркет, остановка, плавательная школа, Аквапарк, Магнум 2...",58
